title,objectid,filename,title-pt,creator,description-en,description-pt,date,locations_en,locations_pt,location_first_en,location_first_pt,latitude_first,longitude_first,location_second_en,location_second_pt,latitude_second,longitude_second,location_third_en,location_third_pt,latitude_third,longitude_third,location_fourth_en,location_fourth_pt,latitude_fourth,longitude_fourth,subject-en,subject-pt,language,source,format,type,rights,rightsstatement,isbn,vimeoid,youtubeid,words_found
Todas as trans finíssimas fumando maconha,teste122,,Todas as trans finíssimas fumando maconha,Trans Finíssimas,Viral meme in which travesti sex workers present themselves while working on the streets and smoking weed. More details can be found here: https://museudememes.com.br/collection/todas-as-trans-finissimas,Meme viral no qual travestis trabalhadoras do sexo se apresentam enquanto trabalham nas ruas e fumam maconha. Mais detalhes podem ser encontrados aqui: https://museudememes.com.br/collection/todas-as-trans-finissimas,2015,Natal,Natal,Natal,Natal,-5.86426719477899,-35.1878099842076,,,,,,,,,,,,,Meme;Video,Meme;Vídeo,,,video/mp4,Audio;MovingImage,,,,125812215,,taba;buceta;querida;bicha;babadeira;rola a taba;solta a taba
Toda feita: o corpo e o gênero das travestis,lalallala,https://martinsfontespaulista.vteximg.com.br/arquivos/ids/1104473-1000-1000/209134_ampliada.jpg?v=637266645626730000,Toda feita: o corpo e o gênero das travestis,Marco Benedetti,"Ethnography conducted by Mario Benedetti on the life of travestis that lived in Porto Alegre, Rio Grande do Sul, Brazil. The image features the cover of the book.","Etnografia conduzida por Mario Benedetti sobre a vida de travestis que viveram em Porto Alegre, Rio Grande do Sul, Brasil. A imagem apresenta a capa do livro.",2005,Porto Alegre,Porto Alegre,Porto Alegre,Porto Alegre,-30.0335770970535,-51.2190552638227,,,,,,,,,,,,,Ethnography;Academic work,Etnografia;Trabalho Acadêmico,,,image/jpeg,Image;StillImage,,,,,,
Neca: Romance em bajubá,latchbo0003,https://img.travessa.pt/livro/GR/0e/0e572e88-f547-4dae-81ab-8880402996ea.jpg,Neca: Romance em bajubá,Amara Moira,"Romance written in Pajubá talking about the life experiences of Amara Moira, written by herself. The text includes the experiences of Amara Moira working as a sex worker in Italy, including a wide range of vocabulary in Pajubá with influence from Italian. The image features the cover of the book.","Romance escrito em Pajubá sobre as experiências de vida de Amara Moira, escrito por ela mesma. O texto inclui as experiências de Amara Moira trabalhando como trabalhadora do sexo na Itália, incluindo um amplo vocabulário em Pajubá com influência do italiano. A imagem apresenta a capa do livro.",2021,São Paulo,São Paulo,São Paulo,São Paulo,-23.54435,-46.64272,,,,,,,,,,,,,Romance;Autobiography,Romance;Autobiografia,,,image/jpeg,Image;StillImage,,,,,,
Pepita no Pagode,latchbo0004,,Pepita no Pagode,Mulher Pepita,"Viral video featuring an audio recording made by Mulher Pepita, a Brazilian travesti singer, telling to her queer friends about the day she went to a pagode party and found a man interested in her. This item features the video published on YouTube.","Vídeo viral com um áudio gravado por Mulher Pepita, cantora travesti brasileira, contando para suas amigas queer sobre o dia em que foi a uma festa de pagode e encontrou um homem interessado nela. Este item apresenta o vídeo publicado no YouTube.",2017,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,-22.9205888857281,-43.377686937742,,,,,,,,,,,,,Video;Meme,Vídeo;Meme,,,video/mp4,Image;MovingImage,,,,,P4J3RTZzVhU,
E se eu fosse puta?,latchbo0005,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNgxsQPwd3YR3mmHtbjCWNElLr0MMkgEPRAA&s,E se eu fosse puta?,Amara Moira,Autobiographical writing by Amara Moira accounting her gender transition and her first experiences as a sex worker. The text utilizes vast amount of Pajubá.,Escrita autobiográfica de Amara Moira relatando sua transição de gênero e suas primeiras experiências como trabalhadora do sexo. O texto utiliza grande quantidade de Pajubá.,2016,Campinas,Campinas,Campinas,Campinas,-22.8140833249613,-47.0655364978785,,,,,,,,,,,,,Autobiography; Romance,Romance;Autobiografia,,,image/jpeg,Image;StillImage,,,,,,
Diálogo de bonecas,latchbo0006,https://i0.wp.com/www.touchelivros.com.br/wp-content/uploads/2025/07/dialogo_de_bonecas.jpg,Diálogo de bonecas,Jovanna Baby,One of the first dictionaries cataloging words in Pajubá.,Um dos primeiros dicionários a catalogar palavras em Pajubá.,1992,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,-22.9205888857281,-43.377686937742,,,,,,,,,,,,,Dictionary,Dicionário,,,image/jpeg,Image;StillImage,,,,,,"a mubilia está fuzada;abatá matim;matí;abatá odara;abatá uó;abatá;abuté; acué matim; acué odara;acué;ade fontó;adé bombada;adé dundun;adé;adeus; afofi; afofó; aganegan; agricó; ajapi; ajé fotorum; ajeum matim; ajeum odara; ajeum; ajeum de erê; ajeum de macaco; alá; aliban; alibã verde; alibã azul; alibã branco; azuelar a mona; azuelar o core core;corre corre; azuelar taba; azuelar o ocó; azuelar; babadinho; babado forte; babado; baco; bajubá uó; bajubá bem; bajubá; banda ô, banda ré, bandalá, batalha; bater bolo; bate bolo; baté endaca; bofe; cacura; cacurucaia; carupé; cepavan; chapéu; chaveco; cheque voador; cheque; ebó; edi matim; edi odara; edi; efim; Elza; endaké; entrujão; equê; erê; ereia; escândalo; etú; fazer a linha; fita na endaca; fita; fuzado; gamber; guanguan;ia;ibope;Iemanjá;ile de alibam;ile de baco;ile odara;ile da paz;ile de nena;ilê de aqué;ilê de educar;ilê de tratar;ile;indaca no edi;indaca co indaca;indaca na neca;indaca no ofofo;indaca;indé;inhá;izala;laurê;linha u ó; lorogun;mahonga francesa; mahonga; manhonga; maricona; marvambo; matin; matí; metámetá; mitorô; molhado; mona ocó; mona uó; mona de equê; mona de banda osse; mona dunda; mona odara; mona dundun; mona; mubilha; mucunã; nagiria; nanã nas trevas; neca matin; neca matí; neca odara; neca; nena; nequinha; ramé; ravi; repã de ojum; repã de ouvi; repã de ouvir; revá; tá na onda; taba de equê; taba; talão de cheque; taramuseco; tik; tombado; top; trevas; uó; vovó; vovó Catarina; xarope"
(Re)encontrando o Diálogo de Bonecas: o bajubá em uma perspectiva antropológica,latchbo0007,https://repositorio.ufu.br/bitstream/123456789/21850/3/%28Re%29encontrandoDi%C3%A1logoBonecas.pdf,(Re)encontrando o Diálogo de Bonecas: o bajubá em uma perspectiva antropológica,Gabriela Araujo,"This academic investigation, part of Gabriela Araujo's master's dissertation, traces back the origins of Pajubá by interviewing Pajubá-speaking travestis and the creators of the Dictionary ""Diálogo de Bonecas"".","Esta investigação acadêmica, parte da dissertação de mestrado de Gabriela Araujo, rastreia as origens do Pajubá por meio de entrevistas com travestis falantes de Pajubá e com as criadoras do dicionário ""Diálogo de Bonecas"".",2018,Uberlândia,Uberlândia,Uberlândia,Uberlândia,-18.9119800372265,-48.2695531489824,,,,,,,,,,,,,Academic Work,Trabalho acadêmico,,,application/pdf,,,,,,,
Pajubá,latchbo0008,,Pajubá,Linn da Quebrada,"Music album discussing the life experiences of the travesti singer Linn da Quebrada. Some songs utilize lexicon in Pajubá, as in ""Tomara.""","Álbum musical que discute as experiências de vida da cantora travesti Linn da Quebrada. Algumas músicas utilizam léxico em Pajubá, como em ""Tomara"".",2017,São Paulo,São Paulo,São Paulo,São Paulo,-23.54435,-46.64272,,,,,,,,,,,,,Music,Música,,,video/mp4,Audio;MovingImage,,,,,ZyQwAcodhfo,matí;odara
O negócio do michê: prostituição viril em São Paulo,latchbo0009,https://doi.org/10.47749/T/UNICAMP.1986.51856,O negócio do michê: prostituição viril em São Paulo,Néstor Perlongher,"Ethnography by Néstor Perlongher in the 1980s São Paulo, where the author conducted an observant participation with male sex workers and travestis.","Etnografia de Néstor Perlongher realizada em São Paulo na década de 1980, na qual o autor conduziu observação participante com trabalhadores do sexo masculinos e travestis.",1986,São Paulo,São Paulo,São Paulo,São Paulo,-23.54435,-46.64272,,,,,,,,,,,,,Ethnography;Academic Work,Etnografia;Trabalho Acadêmico,,,application/pdf,,,,,,,mariconas;maricona;okô-odara;erê
Pequeno Vocabulário Pajubá Palmense,latchbo0010,https://editorascienza.com.br/ebook/pajuba.pdf,Pequeno Vocabulário Pajubá Palmense,Paulo Ricardo Aires Rodrigues;Karylleila dos Santos Andrade,"Dictionary in Portuguese-Pajubá made utilizing the Pajubá variety spoken in Palmas, Tocantins, Brazil.","Dicionário português–Pajubá elaborado a partir da variedade de Pajubá falada em Palmas, Tocantins, Brasil.",2023,Palmas,Palmas,Palmas,Palmas,-10.27,-48.31,,,,,,,,,,,,,Dictionary,Dicionário,,,application/pdf,Image;StillImage,,,,,,abafar;abalar;bafo;acuendar;acué;afolozado;alibã;amapoa;amigãm;amigue;amo-sou;Ana Cláudia;aqué;arrasar;arrombado;ativo;azamiga;babado;bafão;balada;banheirão;barbie;bate bunda;bater bolacha;bater cabelo; beyblade;bear;bee;beijinho no ombro;beijo grego;benga;berro;biba;bibona;bicha baixa; bicha carteirão;bicha pão-com-ovo; bicha hétero; bicha poc poc; bicha é uó; bichinha; bissinha; biu; bôla;bofe;bofe escândalo; boneca;borboletear;bota;boy macumba; boy magia negra;boy magia cigana;buceta;bunita; cafu do bem; cafuçu; cagar no maiô; cagona; caminhão;caminhoneira;chá de cu; chatiada; chequeira;cheque prédatado; chico; chuca; chuchu; chupetinha;cinta-pau; colar de beijos; colar velcro; colocada;consolo; cunete; dar a elza; dar close; dar pinta; desquendar; destruidora; diva;divar; dotado; DP; dundi; dundum; ebó;edi;Edna;Elza;encubado;enrustido;entendido;entendida;erê;erro;estar bege;eveja;evejosa;exu;fada;fancha;fancho;fazer a egípcia;fazer a linha;fazer a pêssega;fazer sabão;fazer Winona; fechativo;femenine;fervo;ficar passada;estar passada; flandehouse; flex; florzinha;friendly;função;gala;gata;gaydar;gentem;gilete;gongar;GP;guei;gulosa; hassô; hétera;homossexuelen;HT;inhaííí;Irene;jaburu;joaninha;Jorge;lacrar;lamber carpete; leite; libélula; lirou monster;louca da priquita; louca do cu;lugar de pegação; luxo; mala; mana;mapô; maricona;mariposa; meda;meia-bomba;meia-nove; melissinha;menine; meu cu!; mexida; michê;miniboy; moderna;moliér;mona;mona ocó; montar; morder a fronha;morta;mulher; não sou obrigada; Nárnia; neca;neca mati; neca odara; neca trucada; Nefertiti; Neide; nena;nérvora;nhaí; ocó; odara; operada; pacote; padê; padezero; passa-cheque; passiva; passivona; pegação; pele de pêssego; penosa; perigosa; perua; pêssega;pica;picomã; picumã; pintosa; piriquita; piroca; piru; priquita; quá-quá; racha;reflexiva; regabofe; remix na pomboca; rodada; rôla; rosinha; sair do armário; sambar na cara; sapata; sapatão; scania; senhora; sensualizar; Suelem; sufrida; sofrida; surra de edi; suspeito; T.M.; tá boa?; talibã; tarzan; tcheca; tesourinha; Tia Cida; Tia Cleide; tia; toba; toda cagada; tombar na cara; trans-vens-ti; trava; travecão; travesti; travesti mirim; truque; twink; uó; urso; vaporizar;vinhado;vitaminado;xota;xoxota; Zoraide
